Stock,Summary,Label,Confidence,URLs
BTC,"‘We believe the trust’s nearly one million investors deserve this fair playing field,’ lawyer says. SEC has until mid-October to request re-hearing of decision",NEGATIVE,0.9881656169891357,https://finance.yahoo.com/news/grayscale-prods-sec-to-take-action-as-bitcoin-rally-fades-204200696.html
BTC,Sales of BTC equated to proceeds of approximately $1.2 million. Expansion in Washington state now at full operational hashrate of 9.3 EH/s,NEGATIVE,0.9866843819618225,https://finance.yahoo.com/news/cleanspark-releases-august-2023-bitcoin-130000381.html
BTC,"Largest one-day drop in this year’s crypto market. Bitcoin briefly dropped below $25,000 on Thursday",NEGATIVE,0.9980260133743286,https://finance.yahoo.com/news/new-volatility-for-bitcoin-ends-summer-slumber-for-crypto-investors-160538908.html
BTC,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://hk.finance.yahoo.com/news/%25E9%2589%2585%25E4%25BA%25A8%25E8%25B2%25B7%25E5%25B9%25A3%25E9%2580%259F%25E5%25A0%25B1-%25E6%25AF%2594%25E7%2589%25B9%25E5%25B9%25A3-btc-24%25E5%25B0%258F%25E6%2599%2582%25E6%2588%2590%25E4%25BA%25A4%25E9%2587%258F%25E8%25B6%2585%25E9%2581%258E6-85%25E5%2584%2584%25E7%25BE%258E%25E5%2585%2583-021515508.html
BTC,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://hk.finance.yahoo.com/news/%25E9%2589%2585%25E4%25BA%25A8%25E8%25B2%25B7%25E5%25B9%25A3%25E9%2580%259F%25E5%25A0%25B1-%25E6%25AF%2594%25E7%2589%25B9%25E5%25B9%25A3-btc-24%25E5%25B0%258F%25E6%2599%2582%25E6%2588%2590%25E4%25BA%25A4%25E9%2587%258F%25E8%25B6%2585%25E9%2581%258E7-42%25E5%2584%2584%25E7%25BE%258E%25E5%2585%2583-091518731.html
BTC,"Largest cryptocurrency’s price sank to a two-month low this week. ‘Institutional investors are getting optimistic,’ IntoTheBlock says",NEGATIVE,0.9988779425621033,https://finance.yahoo.com/news/large-bitcoin-holders-accumulate-1-203128929.html
BTC,It’s a strategic marketing move that’s subtly rewriting the Bitcoin narrative.,POSITIVE,0.9950358271598816,https://finance.yahoo.com/news/bitcoin-etf-applications-bitcoins-best-160704673.html
BTC,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://hk.finance.yahoo.com/news/%25E9%2589%2585%25E4%25BA%25A8%25E8%25B2%25B7%25E5%25B9%25A3%25E9%2580%259F%25E5%25A0%25B1-%25E6%25AF%2594%25E7%2589%25B9%25E5%25B9%25A3-btc-24%25E5%25B0%258F%25E6%2599%2582%25E6%2588%2590%25E4%25BA%25A4%25E9%2587%258F%25E8%25B6%2585%25E9%2581%258E5-83%25E5%2584%2584%25E7%25BE%258E%25E5%2585%2583-091514883.html
BTC,Margined contracts now account for 33% of total futures open interest. Volatility-boosting liquidations seen with increased use,POSITIVE,0.8145719170570374,https://finance.yahoo.com/news/bitcoins-margin-collateral-crypto-futures-085752549.html
BTC,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://hk.finance.yahoo.com/news/%25E9%2589%2585%25E4%25BA%25A8%25E8%25B2%25B7%25E5%25B9%25A3%25E9%2580%259F%25E5%25A0%25B1-%25E6%25AF%2594%25E7%2589%25B9%25E5%25B9%25A3-btc-24%25E5%25B0%258F%25E6%2599%2582%25E6%2588%2590%25E4%25BA%25A4%25E9%2587%258F%25E8%25B6%2585%25E9%2581%258E5-81%25E5%2584%2584%25E7%25BE%258E%25E5%2585%2583-021513993.html
Tesla,"New owners express frustration over price cuts, no-charge changes. Existing customers will feel resentment, at least for now",NEGATIVE,0.9976634979248047,https://finance.yahoo.com/news/tesla-owners-angry-buying-vehicles-210317476.html
Tesla,Four new models in Concept CLA Class each have a range of more than 750 miles. German carmakers are under growing EV competition from China,POSITIVE,0.9923650622367859,https://finance.yahoo.com/news/mercedes-unveils-electric-vehicles-better-153827594.html
Tesla,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/video/tesla-gets-approval-diner-drive-210559303.html
